BARCODE,ITEM CODE,DESCRIPTION 1,DESCRITION 2,DESCRIPTION 3,UNITS,DIVISION,GROUP,CLASSIFICATION 1,CLASSIFICATION 2, COST , SELLING PRICE , MODEL QUANTITY ,SUPPLIER CODE,MANUFACTURER, QUANTITY , REORDER POINT 
,ASPIN,ASPIN,,,8 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 350.00 , 410.00 ,, MAXIVETE ,,,
,ASPIN,ASPIN,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 43.75 , 55.00 ,, MAXIVETE ,,,
,BPA,BEEF PRO A,,,22.6 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,304.76 "," 1,450.00 ",,DANCOR,, 6 ,
,BPA,BEEF PRO A,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 57.73 , 68.00 ,,DANCOR,, 26 ,
,BPP,BEEF PRO P,,,22.6 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,565.63 "," 1,750.00 ",,DANCOR,, 4 ,
,BPP,BEEF PRO P,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 68.97 , 83.00 ,,DANCOR,, 6 ,
,BEEFY,BEEFY,,,8 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 320.00 , 380.00 ,, VETFILES ,, 18 ,
,BEEFY,BEEFY,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 40.00 , 50.00 ,, VETFILES ,, 1 ,
,ESBA,EUKA SMALL BREED ADULT,,,15 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,995.00 "," 2,190.00 ",,PLU,, 2 ,
,ESBA,EUKA SMALL BREED ADULT,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 133.00 , 155.00 ,,PLU,,,
,ESBP,EUKA SMALL BREED  PUPPY,,,20 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 2,890.00 "," 3,300.00 ",,PLU,,,
,ESBP,EUKA SMALL BREED  PUPPY,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 144.50 , 165.00 ,,PLU,,,
,ELBA,EUKA LARGE BREED ADULT,,,15 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,995.00 "," 2,190.00 ",,PLU,,,
,ELBA,EUKA LARGE BREED ADULT,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 133.00 , 155.00 ,,PLU,,,
,ELBP,EUKA LARGE BREED PUPPY,,,15 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 2,170.00 "," 2,470.00 ",,PLU,,,
,ELBP,EUKA LARGE BREED PUPPY,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 144.67 , 165.00 ,,PLU,,,
,ELRA,EUKA LAMB&RICE ADULT,,,15 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 2,115.00 "," 2,390.00 ",,PLU,,,
,ELRA,EUKA LAMB&RICE ADULT,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 141.00 , 165.00 ,,PLU,,,
,ELRP,EUKA LAMB&RICE PUPPY,,,15 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 2,282.00 "," 2,590.00 ",,PLU,,,
,ELRP,EUKA LAMB&RICE PUPPY,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 152.13 , 175.00 ,,PLU,,,
,HOLISTIC ADULT,HOLISTIC ADULT,,,15 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,405.00 "," 1,600.00 ",,NATPET,, 2 ,
